Place of interest,Tipo_Centro,Place address,BiciMAD station,Station location
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Alcalá-Ventas,Calle Alejandro González nº 1
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Puente de Ventas,Avenida de Daroca nº 2
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Avenida Donostiarra,Calle Virgen de la Alegría nº 18
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Velázquez-Diego de León,Calle Velázquez nº 91
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Diego de león,Calle Alonso Heredia nº 1
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Avenida de los Toreros,Avenida de los Toreros nº 3
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Ventas,Avenida de los Toreros nº 49
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Avenida de América 2,Calle Francisco Silvela nº 86
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Avenida de América 1,Calle Padre Indalecio Hernández nº 1
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Prosperidad,Calle Suero de Quiñones nº 2
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Parque Berlín,Avenida de Concha Espina nº 34
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Rubén Darío,Glorieta Rubén Darío 2
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Fernando el Católico,Calle Fernando el Católico nº 61
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Quevedo,Glorieta de Quevedo nº 5
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Canal,Calle José Abascal frente al nº 2
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Parque Santander,Calle Santander esquina con Avenida de Filipinas
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,San Francisco de Sales,Calle General Ampudia nº 2
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Cuatro Caminos 2,Calle Doctor Santero nº 1
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Estrecho,Calle Navarra nº 1
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Metro Tetuán,Calle Marqués de Viana nº 3
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Remonta,Calle Azucenas nº 1
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Plaza de Castilla,Paseo de la Castellana nº 216
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Plaza de Castilla 2,Paseo Castellana (Fundación Canal)
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Tres Cruces,Calle Tres Cruces nº 7
